2022-05-22 10:37:49.347 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2022-05-22 10:37:49.514 [restartedMain] INFO  com.ghw.hospital.ManageApplication - Starting ManageApplication on ifstyledeMacBook-Pro.local with PID 6731 (/Users/ifstyle/LearningProject/JavaProjects/UpOneTo/hospital-manage/target/classes started by ifstyle in /Users/ifstyle/LearningProject/JavaProjects/UpOneTo)
2022-05-22 10:37:49.516 [restartedMain] INFO  com.ghw.hospital.ManageApplication - The following profiles are active: dev
2022-05-22 10:37:49.618 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-22 10:37:49.620 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-22 10:37:51.315 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-22 10:37:51.319 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-22 10:37:51.358 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2022-05-22 10:37:52.137 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9998 (http)
2022-05-22 10:37:52.147 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9998"]
2022-05-22 10:37:52.147 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-22 10:37:52.148 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-05-22 10:37:52.231 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-22 10:37:52.231 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2608 ms
2022-05-22 10:37:52.592 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Starting...
2022-05-22 10:37:52.885 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Start completed.
2022-05-22 10:37:54.124 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-22 10:37:54.354 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-05-22 10:37:55.181 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-22 10:37:55.196 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-22 10:37:55.232 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-22 10:37:55.255 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9998"]
2022-05-22 10:37:55.284 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9998 (http) with context path ''
2022-05-22 10:37:55.287 [restartedMain] INFO  com.ghw.hospital.ManageApplication - Started ManageApplication in 6.727 seconds (JVM running for 7.825)
2022-05-22 10:44:08.242 [http-nio-9998-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-22 10:44:08.243 [http-nio-9998-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-05-22 10:44:08.250 [http-nio-9998-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2022-05-22 10:44:12.893 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653187452886&
2022-05-22 10:44:13.384 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:44:16.545 [http-nio-9998-exec-7] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653187456541&
2022-05-22 10:44:16.595 [http-nio-9998-exec-7] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:44:22.055 [http-nio-9998-exec-1] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data sign=e30222a5efcbad4377150495c66c2baf&hoscode=1000_01&timestamp=1653187462050&
2022-05-22 10:44:22.098 [http-nio-9998-exec-1] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2022-05-22 10:44:23.645 [http-nio-9998-exec-2] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=e30222a5efcbad4377150495c66c2baf&page=1&hoscode=1000_01&timestamp=1653187463635&
2022-05-22 10:44:23.706 [http-nio-9998-exec-2] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":{"content":[],"pageable":{"sort":{"sorted":false,"unsorted":true,"empty":true},"pageNumber":0,"pageSize":10,"offset":0,"paged":true,"unpaged":false},"last":true,"totalElements":0,"totalPages":0,"first":true,"numberOfElements":0,"sort":{"sorted":false,"unsorted":true,"empty":true},"size":10,"number":0,"empty":true},"ok":true}
2022-05-22 10:44:25.238 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=e30222a5efcbad4377150495c66c2baf&page=1&hoscode=1000_01&timestamp=1653187465235&
